Date,rented_count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Holiday,Functioning Day,Seasons,,
09/01/2018,1075,0,23.2,83,0.5,1887,0,0,0,0,1,Autumn,,
09/01/2018,975,1,22.7,83,0.1,1940,0,0,0,0,1,Autumn,,
09/01/2018,785,2,22,86,0.4,1703,0,0,0,0,1,Autumn,,
09/01/2018,514,3,21.6,87,0.3,1579,0,0,0,0,1,Autumn,,
09/01/2018,338,4,21.2,88,0.9,1183,0,0,0,0,1,Autumn,,
09/01/2018,260,5,21.1,87,0.6,1116,0,0,0,0,1,Autumn,,
09/01/2018,362,6,20.9,87,0.7,1198,0,0,0,0,1,Autumn,,
09/01/2018,511,7,21.1,81,1,1738,0.14,0,0,0,1,Autumn,,
09/01/2018,812,8,22.3,64,1.7,2000,0.75,0,0,0,1,Autumn,,
09/01/2018,925,9,24.1,56,2.1,1956,1.46,0,0,0,1,Autumn,,
09/01/2018,861,10,26,54,1.5,2000,2.13,0,0,0,1,Autumn,,
09/01/2018,981,11,27.6,47,1.2,2000,2.63,0,0,0,1,Autumn,,
09/01/2018,1086,12,28.9,46,1.6,1966,2.96,0,0,0,1,Autumn,,
09/01/2018,1303,13,29.4,48,1.9,1942,2.88,0,0,0,1,Autumn,,
09/01/2018,1371,14,29.7,42,1.4,2000,2.37,0,0,0,1,Autumn,,
09/01/2018,1480,15,30,45,0.9,2000,2.1,0,0,0,1,Autumn,,
09/01/2018,1678,16,30.5,41,1.4,1930,1.95,0,0,0,1,Autumn,,
09/01/2018,1845,17,29.6,42,1.3,2000,0.98,0,0,0,1,Autumn,,
09/01/2018,1892,18,28.8,46,1.3,2000,0.58,0,0,0,1,Autumn,,
09/01/2018,1891,19,27.8,48,1.1,2000,0.08,0,0,0,1,Autumn,,
09/01/2018,1440,20,26.9,49,2.1,2000,0,0,0,0,1,Autumn,,
09/01/2018,1110,21,26,52,1.4,2000,0,0,0,0,1,Autumn,,
09/01/2018,992,22,25.1,53,2,2000,0,0,0,0,1,Autumn,,
09/01/2018,1523,23,24.4,54,1.6,2000,0,0,0,0,1,Autumn,,
09/02/2018,1336,0,23.5,56,1.5,2000,0,0,0,0,1,Autumn,,
09/02/2018,930,1,22.8,59,1.5,2000,0,0,0,0,1,Autumn,,
09/02/2018,610,2,22,60,1.2,2000,0,0,0,0,1,Autumn,,
09/02/2018,440,3,21.5,61,1.3,2000,0,0,0,0,1,Autumn,,
09/02/2018,255,4,21.1,62,1.8,2000,0,0,0,0,1,Autumn,,
09/02/2018,179,5,20.6,65,1.1,2000,0,0,0,0,1,Autumn,,
09/02/2018,249,6,20.2,66,1,2000,0,0,0,0,1,Autumn,,
09/02/2018,388,7,20.2,65,1.4,2000,0.16,0,0,0,1,Autumn,,
09/02/2018,576,8,21.3,57,1.3,2000,0.81,0,0,0,1,Autumn,,
09/02/2018,721,9,23.4,52,1.3,1997,1.53,0,0,0,1,Autumn,,
09/02/2018,802,10,25,47,1.5,2000,2.17,0,0,0,1,Autumn,,
09/02/2018,940,11,26.5,44,1.4,1958,2.62,0,0,0,1,Autumn,,
09/02/2018,1075,12,27.5,43,1.4,1959,2.75,0,0,0,1,Autumn,,
09/02/2018,1254,13,28.5,42,1.7,1990,2.94,0,0,0,1,Autumn,,
09/02/2018,1395,14,29.1,43,1.4,2000,2.39,0,0,0,1,Autumn,,
09/02/2018,1550,15,29.3,43,1.5,1958,2.4,0,0,0,1,Autumn,,
09/02/2018,1853,16,29.3,44,1.4,1997,1.32,0,0,0,1,Autumn,,
09/02/2018,2069,17,28.8,47,2,1998,1,0,0,0,1,Autumn,,
09/02/2018,2118,18,27.9,52,1.7,2000,0.2,0,0,0,1,Autumn,,
09/02/2018,1986,19,27.3,54,1.5,2000,0.05,0,0,0,1,Autumn,,
09/02/2018,1838,20,26.9,56,1.6,2000,0,0,0,0,1,Autumn,,
09/02/2018,1759,21,26.2,62,2.3,2000,0,0,0,0,1,Autumn,,
09/02/2018,1511,22,25.7,64,1.1,2000,0,0,0,0,1,Autumn,,
